MySQL [gc_sp21_dinosaurherd_log]> \. queries/maxLevelReached.sql
+--------------------------------------+--------------------------------------+-----------+
| uid                                  | sessionid                            | max_level |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 6B012D74-2776-7E1A-C579-76394EC4973E |        10 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 727D50E2-E11F-C591-DBBF-D2E4EA1836F9 |        11 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 772995D8-9783-7D8F-B6EB-861B4FDA04CA |         4 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 78DCEC61-B6AD-1BB8-8BB3-0636614CDA4B |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 7D261C11-5F5B-3506-5F52-B883BAB63A11 |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 7F4A2EDE-21F6-4B79-3D29-360FDA600A5C |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 83C1370F-50E7-DC60-C7DA-1FA73A9C2427 |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 847A0725-DCB6-E212-FC44-F892BFA30C8C |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 8657FAE8-67C2-09EA-EABC-135189A4E2AB |         6 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 87588909-CA34-0DBE-60D3-92A5F6427AAE |         1 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 8C666EC1-31C5-32E2-6B37-ED2FC46C56A1 |        11 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 8CA43144-48F3-7004-D5A8-606757B60A95 |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 8CE02FA7-1FC1-C724-A8D4-47A6CDFAE74B |        10 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 902CF825-A688-31E6-D7CF-FF0759EE6ED8 |        11 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 94F6F208-3C27-2D51-14F2-886702217276 |        11 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 9A2EC501-816F-62EB-E6BE-A94ED8986050 |         9 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 9D4003B9-FA3A-AC42-5330-24C8AED7C0D2 |         4 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 9DA5F368-BA17-E457-3B49-6E2B7D289551 |         7 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | A47A61CE-D25B-BBC5-8C46-5D5D9E0755F4 |        10 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | AA34A799-C475-CDE4-EE1A-8D5F792FA9AF |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | AB59BF2B-6F96-C3AE-B70F-658D1A151ED3 |        10 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | BBABA5DB-A428-E9EF-6004-1C8BF8316026 |         1 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | BDA022B4-BCA5-C13A-5554-62C40056FDB1 |         1 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | BEF3F96F-8B7C-7A76-8F65-B7497E3C9071 |        11 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | C075AAF0-795C-CAF7-494F-FA332B22B49B |         4 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | C40A58C1-BE8D-5854-6888-AB0D5D0DD603 |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | D0C68456-0166-FBF9-2C8B-15A41FE94473 |        11 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | D1060D5C-5384-9436-C765-72003FA13D4B |         3 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | D13FFD89-2D5A-5160-5AED-CAE032932063 |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | D83A606A-1BAF-598C-8BC5-AFC90E02DF65 |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | D8B8A3EF-5F9B-8508-F797-D2CE9815CAB7 |        11 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | DD27AC8C-F343-FA85-0EA3-F4CC435804B5 |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | DD80C95D-0EC3-9CE1-3CB4-2911AB427E00 |         3 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | E1EAB1FB-6470-42FE-1134-C91B25AE1426 |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | E1EEC0E4-FC5B-F654-66B9-E46EFA3B963D |        11 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | E7F66CE4-065A-A162-8C4D-96470D8E82AD |        10 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | EEDB2F70-5DDE-4951-6111-C1EACE569E41 |        10 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | F4FEFBFC-1051-6936-9565-FD7992FFEF0B |         1 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | FCE5B37D-4992-EE9C-39C4-18498809BC71 |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | FCE78674-2927-C5FE-F4D6-1F5D1C1446B4 |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | FD16F6D2-BA5C-E591-1C66-86BDBD48D0F4 |        10 |
| 45B43F13-7007-C2ED-5B41-2C311228D6BA | 7806AE8F-7DFD-AC57-25AD-BCD9D8A20E87 |         2 |
| 47B1665A-ED6B-0424-CCFE-093118A08171 | 0F0F5CEC-B9A0-E5DF-F59D-FF0560E6A5BC |         3 |
| 484FC272-C876-722D-2E67-725B40C498A3 | 2018D1E3-00A0-1808-4969-5F4C080B49AF |         1 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | NULL                                 |         1 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 09D4F8E4-7439-D7C7-1B05-0FBB50B0510E |         2 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 3AA9E1B1-B241-3423-828D-D0C41C63E659 |         3 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 4052C9F1-9F26-F19A-A91E-CE839A7F5D8B |         3 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 45EBF3FB-3A8C-0024-F14A-62F6EC66735A |         1 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 5124CC4F-3B4F-FB43-D49C-76898D45858E |         3 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 515C7250-3EB3-8567-04BD-FF42A613A0E6 |         1 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 5593FD0F-80E7-247A-CE21-72803C190B91 |         1 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 5D80883A-F191-8B86-548D-01C2546205A3 |         1 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 7917A76E-7659-DD60-0888-2FEA1E1D89C6 |         2 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 8FA2F655-2632-B28C-2FF3-DEC0945E9CDD |         2 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 9214F36C-277A-AEA8-12BE-3F0A0C3C1D19 |         3 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 98EA27ED-F9A4-B591-B9DB-53FBEB5B1B66 |         1 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | 9EF25497-D796-78CF-3A14-274F5A2EE321 |         1 |
| 4B5A3E72-D6B0-6295-B975-CAB17D028CD4 | B56B02EB-B12F-C201-8681-7AC6830C2FB2 |         1 |
