log_no_quest_id,gid,cid,log_ts,aid,a_detail,uid,vid,sessionid,session_seqid,client_ts,multiplayer_uid,multiplayer_seqid
96,202107,1,1621991934,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,7E526126-B94E-36DE-75D2-8CFE5CBC1972,1,1621991934666,NULL,0
97,202107,1,1621992014,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,EAD14115-863F-C510-6D16-0781F45AB73A,1,1621992014335,NULL,0
98,202107,1,1621992127,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,BB488EDF-7DBF-2C07-F00E-A8443C15A2E5,1,1621992127800,NULL,0
99,202107,1,1621992232,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,188972CA-8BA8-C168-F482-C1961256BC83,1,1621992232631,NULL,0
100,202107,1,1621992285,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,AA3F70C5-DC76-95D9-0966-0B38B4447CA5,1,1621992285081,NULL,0
101,202107,1,1621992361,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,0F29371D-D810-98FB-1592-F7E47CD4141C,1,1621992361731,NULL,0
102,202107,1,1621992379,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,82F73C51-D630-B7D3-45B1-FA286A5BBA8F,1,1621992379065,NULL,0
103,202107,1,1621992417,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,3736D611-0B8A-38D4-A739-049379DE4A6A,1,1621992417130,NULL,0
104,202107,1,1621992467,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,66D9C5C9-AD00-CEFD-94D8-20B51A7A4489,1,1621992467196,NULL,0
105,202107,1,1621992573,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,5C46D470-3C6E-CC31-3EBF-54821EF6B269,1,1621992573478,NULL,0
106,202107,1,1621992802,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,C21E7AAA-718E-D163-42E4-CFFCC67B8A09,1,1621992802144,NULL,0
107,202107,1,1621992842,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,D61910E1-D566-C762-AF2E-77EF4EF21E95,1,1621992842527,NULL,0
108,202107,1,1621992894,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,AFA6DDEE-5D69-FBBF-91E5-3EAE2E300978,1,1621992894295,NULL,0
109,202107,1,1621993104,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,1D21F904-71A7-8005-785E-857A33255506,1,1621993103892,NULL,0
110,202107,1,1621993320,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,857C4313-2ED8-A3C9-D7A6-3A473798E831,1,1621993320256,NULL,0
111,202107,1,1621993405,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,8DB94386-7E7A-350D-872E-F72ACE9B6DBA,1,1621993405123,NULL,0
112,202107,1,1621993442,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,8C85CC6F-F95D-A3E7-F88F-FB67B7CBC010,1,1621993441973,NULL,0
113,202107,1,1621993487,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,3738EE76-0A19-1B3C-EE54-3DAABA98FA08,1,1621993486923,NULL,0
114,202107,1,1621993539,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,7EF81D28-108F-01B2-FECC-0EA2EB01B0F0,1,1621993538873,NULL,0
