log_q_id,qid,log_q_ts,uid,gid,vid,cid,dqid,parent_dqid,q_detail,ae_seq_id,q_s_id,g_s_id,tid,cd_id,quest_seqid,qaction_seqid,session_seqid,sessionid,client_ts,foreign_game_id,multiplayer_seqid,quest_hash
4462,7,1621198818,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,977621F5-7C74-C600-B013-D2DBFB6F39B8,NULL,"{""score"":0}",NULL,1,1,1,0,7,1,13,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198818295,0,0,NULL
4463,7,1621198818,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,977621F5-7C74-C600-B013-D2DBFB6F39B8,NULL,"{""deathCount"":0,""score"":0,""time"":0.31666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,14,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198818596,0,0,NULL
4464,8,1621198819,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,62CD3987-93E5-D807-9F9C-990DD49E2D43,NULL,"{""score"":0}",NULL,1,1,1,0,8,1,15,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198818974,0,0,NULL
4465,8,1621198819,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,62CD3987-93E5-D807-9F9C-990DD49E2D43,NULL,"{""deathCount"":0,""score"":0,""time"":0.76666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,16,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198819711,0,0,NULL
4466,11,1621198820,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,1EEDD4CB-3AF6-E134-22AD-0C3B942B05AE,NULL,"{""score"":0}",NULL,1,1,1,0,12,1,24,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198820085,0,0,NULL
4467,9,1621198820,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,FD159622-F3F6-C4D0-FB87-A310E3F1FBDB,NULL,"{""score"":0}",NULL,1,1,1,0,9,1,17,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198820127,0,0,NULL
4468,9,1621198820,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,FD159622-F3F6-C4D0-FB87-A310E3F1FBDB,NULL,"{""deathCount"":0,""score"":0,""time"":0.71666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,18,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198820833,0,0,NULL
4469,10,1621198821,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,DAB8C276-AAAB-4826-1B58-F31E698E4BB2,NULL,"{""score"":0}",NULL,1,1,1,0,10,1,19,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198821244,0,0,NULL
4470,10,1621198823,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,DAB8C276-AAAB-4826-1B58-F31E698E4BB2,NULL,"{""deathCount"":0,""score"":0,""time"":2.1833333333333,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,20,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198823414,0,0,NULL
4471,1,1621198828,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,EB1CBC79-D171-9EED-D7A2-6B8B0BE5585F,NULL,"{""score"":0}",NULL,1,1,1,0,1,1,1,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198828538,0,0,NULL
4472,1,1621198829,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,EB1CBC79-D171-9EED-D7A2-6B8B0BE5585F,NULL,"{""deathCount"":0,""score"":0,""time"":0.41666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,2,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198828950,0,0,NULL
4473,2,1621198829,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,773F0BA9-22D2-00E6-123E-1852D2422D0E,NULL,"{""score"":0}",NULL,1,1,1,0,2,1,3,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198829003,0,0,NULL
4474,2,1621198829,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,773F0BA9-22D2-00E6-123E-1852D2422D0E,NULL,"{""deathCount"":0,""score"":0,""time"":0.48333333333333,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,4,2B267D8A-5A93-72E5-45F1-7D6389908010,1621198829465,0,0,NULL
